Test,Max RSS,Algo time,Result
1,18408,63,SAT
2,18408,81,SAT
4,18408,77,SAT
3,18408,95,SAT
5,18408,118,SAT
6,18408,102,SAT
7,18408,98,SAT
8,18408,97,SAT
9,18408,88,SAT
12,18408,80,SAT
10,18408,90,SAT
11,18408,60,SAT
13,18408,89,SAT
15,18408,147,SAT
14,18408,100,SAT
16,18408,89,SAT
17,18408,125,SAT
18,18408,124,SAT
19,18408,79,SAT
20,18408,120,SAT
22,18408,72,SAT
21,18408,102,SAT
23,18408,121,SAT
24,18408,85,SAT
25,18408,80,SAT
26,18408,101,SAT
27,18408,77,SAT
28,18408,137,SAT
29,18408,89,SAT
30,18408,99,SAT
31,18408,76,SAT
32,18408,118,SAT
33,18408,83,SAT
34,18408,77,SAT
35,18408,126,SAT
36,18408,68,SAT
37,18408,82,SAT
38,18408,109,SAT
39,18408,73,SAT
40,18408,184,SAT
42,18408,76,SAT
41,18408,90,SAT
43,18408,126,SAT
44,18408,119,SAT
45,18408,86,SAT
46,18408,102,SAT
47,18408,60,SAT
48,18408,84,SAT
49,18408,79,SAT
50,18408,72,SAT
51,18408,118,SAT
52,18408,85,SAT
53,18408,67,SAT
54,18408,89,SAT
55,18408,96,SAT
56,18408,92,SAT
58,18408,88,SAT
57,18408,77,SAT
59,18408,111,SAT
60,18408,95,SAT
61,18408,79,SAT
63,18408,108,SAT
62,18408,84,SAT
64,18408,88,SAT
65,18408,77,SAT
66,18408,88,SAT
67,18408,82,SAT
69,18408,60,SAT
68,18408,108,SAT
71,18408,121,SAT
70,18408,77,SAT
72,18408,87,SAT
73,18408,114,SAT
74,18408,69,SAT
75,18536,116,SAT
76,18536,98,SAT
77,18536,68,SAT
78,18536,78,SAT
79,18536,80,SAT
80,18536,100,SAT
81,18536,132,SAT
82,18536,88,SAT
84,18536,67,SAT
83,18536,105,SAT
85,18536,74,SAT
86,18536,81,SAT
87,18536,124,SAT
88,18536,83,SAT
89,18536,107,SAT
90,18536,73,SAT
91,18536,104,SAT
92,18536,122,SAT
94,18536,126,SAT
93,18536,67,SAT
95,18536,67,SAT
96,18536,86,SAT
97,18536,102,SAT
98,18536,79,SAT
99,18536,76,SAT
100,18536,84,SAT
101,18536,111,SAT
103,18536,72,SAT
102,18536,94,SAT
104,18536,110,SAT
105,18536,148,SAT
106,18536,94,SAT
107,18536,112,SAT
108,18536,82,SAT
110,18536,103,SAT
109,18536,84,SAT
111,18536,84,SAT
112,18536,76,SAT
114,18536,102,SAT
113,18536,90,SAT
116,18536,88,SAT
115,18536,111,SAT
117,18536,113,SAT
118,18536,70,SAT
119,18536,96,SAT
120,18536,153,SAT
121,18536,118,SAT
122,18536,53,SAT
123,18536,76,SAT
124,18536,76,SAT
125,18536,123,SAT
126,18536,75,SAT
127,18536,94,SAT
128,18536,92,SAT
129,18536,116,SAT
130,18536,115,SAT
131,18536,172,SAT
132,18536,80,SAT
133,18536,142,SAT
134,18536,98,SAT
136,18536,138,SAT
135,18536,107,SAT
137,18536,97,SAT
138,18536,87,SAT
139,18536,173,SAT
141,18536,52,SAT
142,18536,133,SAT
140,18536,102,SAT
143,18536,70,SAT
144,18536,82,SAT
145,18536,137,SAT
146,18536,94,SAT
147,18536,95,SAT
148,18536,95,SAT
149,18536,62,SAT
150,18536,216,SAT
151,18536,66,SAT
152,18536,74,SAT
153,18536,78,SAT
154,18536,58,SAT
155,18536,149,SAT
156,18536,118,SAT
158,18536,180,SAT
159,18536,87,SAT
157,18536,85,SAT
160,18536,59,SAT
161,18536,83,SAT
162,18536,134,SAT
163,18536,84,SAT
164,18536,74,SAT
166,18536,96,SAT
