Test,Max RSS,Algo time,Result
1,18472,18,SAT
2,18472,15,SAT
3,18472,14,SAT
5,18472,26,SAT
4,18472,21,SAT
6,18472,26,SAT
7,18472,22,SAT
8,18472,22,SAT
9,18472,19,SAT
11,18472,30,SAT
10,18472,19,SAT
12,18472,23,SAT
13,18472,18,SAT
14,18472,20,SAT
15,18472,22,SAT
16,18472,15,SAT
17,18472,22,SAT
18,18472,25,SAT
19,18472,17,SAT
20,18472,21,SAT
21,18472,23,SAT
22,18472,18,SAT
23,18472,30,SAT
25,18472,16,SAT
24,18472,17,SAT
26,18472,20,SAT
27,18472,15,SAT
28,18472,17,SAT
29,18472,18,SAT
30,18472,15,SAT
31,18472,16,SAT
32,18472,23,SAT
33,18472,15,SAT
35,18472,21,SAT
34,18472,18,SAT
36,18472,14,SAT
37,18472,24,SAT
38,18472,24,SAT
39,18472,18,SAT
40,18472,16,SAT
41,18472,22,SAT
42,18472,34,SAT
43,18472,19,SAT
45,18472,17,SAT
44,18472,20,SAT
46,18472,21,SAT
47,18472,17,SAT
48,18472,15,SAT
49,18472,15,SAT
50,18472,12,SAT
51,18472,18,SAT
52,18472,18,SAT
53,18472,10,SAT
54,18472,14,SAT
55,18472,24,SAT
56,18472,15,SAT
57,18472,15,SAT
58,18472,29,SAT
59,18472,13,SAT
60,18472,27,SAT
61,18472,18,SAT
62,18472,15,SAT
63,18472,17,SAT
64,18472,18,SAT
65,18472,22,SAT
66,18472,15,SAT
67,18472,16,SAT
68,18600,21,SAT
69,18600,20,SAT
70,18600,19,SAT
71,18600,31,SAT
72,18600,18,SAT
73,18600,11,SAT
74,18600,19,SAT
75,18600,21,SAT
76,18600,19,SAT
77,18600,21,SAT
78,18600,18,SAT
80,18600,35,SAT
79,18600,19,SAT
81,18600,19,SAT
82,18600,13,SAT
84,18600,9,SAT
83,18600,19,SAT
85,18600,30,SAT
86,18600,20,SAT
87,18600,24,SAT
88,18600,18,SAT
89,18600,46,SAT
90,18600,13,SAT
91,18600,27,SAT
92,18600,17,SAT
93,18600,12,SAT
94,18600,25,SAT
95,18600,19,SAT
96,18600,19,SAT
98,18600,13,SAT
97,18600,29,SAT
99,18600,15,SAT
100,18600,18,SAT
101,18600,21,SAT
102,18600,21,SAT
103,18600,24,SAT
104,18600,18,SAT
105,18600,20,SAT
107,18600,17,SAT
106,18600,32,SAT
108,18600,20,SAT
109,18600,21,SAT
110,18600,20,SAT
111,18600,31,SAT
112,18728,11,SAT
113,18728,35,SAT
114,18728,15,SAT
115,18728,27,SAT
117,18728,110,SAT
116,18728,16,SAT
118,18728,16,SAT
119,18728,17,SAT
120,18728,29,SAT
121,18728,29,SAT
122,18728,9,SAT
123,18728,18,SAT
124,18728,16,SAT
126,18728,20,SAT
125,18728,26,SAT
127,18728,17,SAT
128,18728,18,SAT
129,18728,21,SAT
130,18728,18,SAT
131,18728,19,SAT
132,18728,15,SAT
133,18728,22,SAT
134,18728,14,SAT
135,18728,20,SAT
136,18728,17,SAT
137,18728,17,SAT
138,18728,18,SAT
139,18728,23,SAT
140,18728,26,SAT
141,18728,15,SAT
142,18728,38,SAT
144,18728,19,SAT
143,18728,18,SAT
145,18728,21,SAT
146,18728,34,SAT
147,18728,16,SAT
149,18728,22,SAT
148,18728,19,SAT
151,18728,17,SAT
150,18728,16,SAT
152,18728,17,SAT
153,18728,23,SAT
154,18728,9,SAT
155,18728,15,SAT
156,18728,28,SAT
157,18728,15,SAT
158,18728,23,SAT
159,18728,23,SAT
160,18728,22,SAT
161,18728,20,SAT
162,18728,13,SAT
163,18728,21,SAT
164,18728,19,SAT
165,18728,20,SAT
166,18728,48,SAT
167,18728,25,SAT
168,18728,26,SAT
169,18728,17,SAT
171,18728,27,SAT
170,18728,17,SAT
172,18728,21,SAT
173,18728,13,SAT
174,18728,38,SAT
175,18728,13,SAT
176,18728,22,SAT
177,18728,25,SAT
178,18728,34,SAT
179,18728,18,SAT
181,18728,26,SAT
180,18728,17,SAT
182,18728,21,SAT
183,18728,16,SAT
184,18728,12,SAT
185,18728,20,SAT
186,18728,20,SAT
187,18728,21,SAT
188,18728,13,SAT
189,18728,9,SAT
190,18728,14,SAT
192,18728,12,SAT
191,18728,26,SAT
193,18728,19,SAT
194,18728,22,SAT
196,18728,24,SAT
195,18728,23,SAT
197,18728,29,SAT
199,18728,20,SAT
198,18728,16,SAT
201,18728,24,SAT
200,18728,15,SAT
202,18728,33,SAT
203,18728,19,SAT
204,18728,15,SAT
206,18728,20,SAT
205,18728,27,SAT
207,18728,20,SAT
208,18728,16,SAT
209,18728,12,SAT
210,18728,16,SAT
211,18728,24,SAT
212,18728,27,SAT
213,18728,27,SAT
214,18728,20,SAT
216,18728,20,SAT
215,18728,33,SAT
217,18728,21,SAT
218,18728,19,SAT
219,18728,14,SAT
220,18728,21,SAT
221,18728,23,SAT
223,18728,26,SAT
222,18728,20,SAT
224,18728,21,SAT
225,18728,15,SAT
226,18728,30,SAT
227,18728,17,SAT
228,18728,10,SAT
229,18728,20,SAT
231,18728,15,SAT
230,18728,12,SAT
233,18728,32,SAT
232,18728,23,SAT
234,18728,18,SAT
235,18728,30,SAT
236,18728,41,SAT
237,18728,13,SAT
238,18728,19,SAT
239,18728,33,SAT
240,18728,24,SAT
242,18728,13,SAT
241,18728,14,SAT
243,18728,22,SAT
244,18728,27,SAT
245,18728,24,SAT
246,18728,28,SAT
247,18728,20,SAT
248,18728,19,SAT
249,18728,22,SAT
250,18728,20,SAT
251,18728,16,SAT
252,18728,17,SAT
253,18728,17,SAT
255,18728,13,SAT
254,18728,23,SAT
256,18728,23,SAT
257,18728,15,SAT
258,18728,18,SAT
259,18728,17,SAT
260,18728,8,SAT
262,18728,19,SAT
261,18728,14,SAT
263,18728,22,SAT
264,18728,18,SAT
265,18728,21,SAT
266,18728,17,SAT
267,18728,22,SAT
268,18728,16,SAT
269,18728,13,SAT
271,18728,14,SAT
270,18728,29,SAT
272,18728,20,SAT
273,18728,19,SAT
274,18728,22,SAT
275,18728,22,SAT
276,18728,15,SAT
277,18728,25,SAT
278,18728,18,SAT
279,18728,31,SAT
280,18728,17,SAT
281,18728,23,SAT
282,18728,30,SAT
283,18728,18,SAT
284,18728,16,SAT
285,18728,28,SAT
287,18728,30,SAT
286,18728,33,SAT
288,18728,12,SAT
289,18728,22,SAT
290,18728,17,SAT
291,18728,16,SAT
292,18728,16,SAT
293,18728,21,SAT
294,18728,19,SAT
295,18728,55,SAT
296,18728,33,SAT
297,18728,16,SAT
298,18728,13,SAT
299,18728,19,SAT
300,18728,16,SAT
301,18728,20,SAT
302,18728,22,SAT
303,18728,21,SAT
304,18728,25,SAT
306,18728,26,SAT
305,18728,19,SAT
307,18728,13,SAT
308,18728,14,SAT
310,18728,16,SAT
309,18728,16,SAT
311,18728,22,SAT
312,18728,31,SAT
313,18728,16,SAT
315,18728,21,SAT
314,18728,16,SAT
318,18728,16,SAT
317,18728,34,SAT
319,18728,14,SAT
316,18728,20,SAT
320,18728,17,SAT
321,18728,14,SAT
322,18728,21,SAT
323,18728,18,SAT
324,18728,18,SAT
325,18728,19,SAT
326,18728,10,SAT
327,18728,26,SAT
329,18728,23,SAT
328,18728,21,SAT
330,18728,20,SAT
331,18728,16,SAT
332,18728,21,SAT
333,18728,26,SAT
334,18728,15,SAT
335,18728,31,SAT
336,18728,22,SAT
337,18728,22,SAT
339,18728,25,SAT
338,18728,17,SAT
340,18728,29,SAT
341,18728,15,SAT
342,18728,11,SAT
343,18728,23,SAT
344,18728,35,SAT
345,18728,17,SAT
346,18728,9,SAT
347,18728,19,SAT
349,18728,17,SAT
348,18728,36,SAT
350,18728,21,SAT
351,18728,18,SAT
354,18728,13,SAT
352,18728,20,SAT
353,18728,17,SAT
355,18728,63,SAT
356,18728,19,SAT
358,18856,21,SAT
357,18856,18,SAT
359,18856,13,SAT
360,18856,17,SAT
362,18856,18,SAT
361,18856,16,SAT
363,18856,27,SAT
365,18856,26,SAT
364,18856,14,SAT
366,18856,25,SAT
367,18856,14,SAT
368,18856,26,SAT
369,18856,23,SAT
370,18856,22,SAT
371,18856,20,SAT
373,18856,18,SAT
372,18856,30,SAT
374,18856,17,SAT
375,18856,21,SAT
376,18856,21,SAT
378,18856,21,SAT
377,18856,19,SAT
380,18856,20,SAT
379,18856,25,SAT
381,18856,14,SAT
382,18856,29,SAT
383,18856,19,SAT
384,18856,35,SAT
385,18856,11,SAT
386,18856,21,SAT
387,18856,16,SAT
388,18856,20,SAT
389,18856,23,SAT
390,18856,17,SAT
391,18856,15,SAT
392,18856,13,SAT
393,18856,22,SAT
394,18856,30,SAT
395,18856,19,SAT
396,18856,19,SAT
397,18856,10,SAT
399,18856,17,SAT
398,18856,27,SAT
400,18856,20,SAT
401,18856,20,SAT
402,18856,34,SAT
403,18856,22,SAT
404,18856,22,SAT
405,18856,17,SAT
406,18856,18,SAT
407,18856,33,SAT
409,18856,11,SAT
408,18856,24,SAT
410,18856,25,SAT
411,18856,11,SAT
412,18856,19,SAT
413,18856,19,SAT
414,18856,20,SAT
416,18856,16,SAT
415,18856,26,SAT
417,18856,15,SAT
418,18856,19,SAT
419,18856,26,SAT
420,18856,26,SAT
421,18856,25,SAT
422,18856,15,SAT
423,18856,18,SAT
424,18856,31,SAT
425,18856,11,SAT
426,18856,30,SAT
427,18856,37,SAT
429,18856,16,SAT
428,18856,11,SAT
430,18856,13,SAT
431,18856,15,SAT
432,18856,38,SAT
433,18856,19,SAT
434,18856,13,SAT
435,18856,18,SAT
436,18856,18,SAT
437,18856,17,SAT
438,18856,19,SAT
439,18856,19,SAT
440,18856,16,SAT
441,18856,19,SAT
442,18856,20,SAT
443,18856,18,SAT
445,18856,23,SAT
444,18856,15,SAT
447,18856,17,SAT
446,18856,17,SAT
448,18856,20,SAT
449,18856,17,SAT
450,18856,16,SAT
452,18856,25,SAT
451,18856,22,SAT
454,18856,17,SAT
453,18856,31,SAT
456,18856,14,SAT
455,18856,56,SAT
457,18856,19,SAT
458,18856,17,SAT
459,18856,24,SAT
461,18856,21,SAT
460,18856,20,SAT
463,18856,12,SAT
462,18856,24,SAT
464,18856,16,SAT
466,18856,15,SAT
465,18856,23,SAT
468,18856,19,SAT
467,18856,15,SAT
470,18856,18,SAT
469,18856,17,SAT
471,18856,10,SAT
472,18856,14,SAT
473,18856,17,SAT
474,18856,16,SAT
475,18856,21,SAT
476,18856,14,SAT
477,18856,27,SAT
478,18856,14,SAT
479,18856,26,SAT
480,18856,20,SAT
481,18856,31,SAT
482,18856,13,SAT
483,18856,13,SAT
484,18856,37,SAT
485,18856,13,SAT
486,18856,26,SAT
487,18856,29,SAT
488,18856,15,SAT
489,18856,23,SAT
492,18856,18,SAT
490,18856,26,SAT
491,18856,22,SAT
493,18856,16,SAT
494,18856,25,SAT
495,18856,28,SAT
496,18856,16,SAT
497,18856,14,SAT
498,18856,25,SAT
499,18856,16,SAT
500,18856,17,SAT
501,18856,14,SAT
503,18856,19,SAT
502,18856,23,SAT
504,18856,21,SAT
505,18856,16,SAT
506,18856,17,SAT
507,18856,16,SAT
508,18856,13,SAT
510,18856,13,SAT
509,18856,11,SAT
511,18856,13,SAT
513,18856,17,SAT
512,18856,15,SAT
514,18856,22,SAT
515,18856,23,SAT
516,18856,24,SAT
517,18856,27,SAT
518,18856,21,SAT
520,18856,13,SAT
519,18856,18,SAT
521,18856,14,SAT
523,18856,18,SAT
522,18856,24,SAT
524,18856,12,SAT
525,18856,32,SAT
526,18856,21,SAT
527,18856,39,SAT
528,18856,21,SAT
529,18856,18,SAT
530,18856,23,SAT
531,18856,25,SAT
532,18856,20,SAT
533,18856,12,SAT
534,18856,25,SAT
536,18856,14,SAT
535,18856,20,SAT
537,18856,12,SAT
538,18856,18,SAT
539,18856,31,SAT
540,18856,32,SAT
541,18856,20,SAT
542,18856,34,SAT
543,18856,16,SAT
544,18856,19,SAT
545,18856,16,SAT
546,18856,30,SAT
547,18856,18,SAT
548,18856,18,SAT
549,18856,18,SAT
550,18856,13,SAT
551,18856,15,SAT
552,18856,25,SAT
553,18856,17,SAT
554,18856,9,SAT
555,18856,15,SAT
556,18856,19,SAT
557,18856,13,SAT
558,18856,25,SAT
559,18856,12,SAT
561,18856,28,SAT
560,18856,25,SAT
562,18856,19,SAT
563,18856,16,SAT
564,18856,13,SAT
565,18856,9,SAT
566,18856,23,SAT
567,18856,31,SAT
569,18856,10,SAT
568,18856,14,SAT
570,18856,14,SAT
571,18856,15,SAT
572,18856,23,SAT
573,18856,13,SAT
574,18856,19,SAT
575,18856,22,SAT
576,18856,17,SAT
577,18856,34,SAT
579,18856,17,SAT
578,18856,29,SAT
580,18856,25,SAT
581,18856,6,SAT
582,18856,28,SAT
583,18856,18,SAT
584,18856,16,SAT
585,18856,10,SAT
586,18856,20,SAT
587,18856,42,SAT
588,18856,28,SAT
589,18856,20,SAT
590,18856,14,SAT
591,18856,25,SAT
593,18856,22,SAT
592,18856,11,SAT
594,18856,21,SAT
595,18856,33,SAT
596,18856,15,SAT
597,18856,21,SAT
598,18856,23,SAT
599,18856,15,SAT
601,18856,12,SAT
600,18856,20,SAT
602,18856,21,SAT
603,18856,13,SAT
