Test,Max RSS,Algo time,Result
2,18476,333,SAT
1,18476,112585,SAT
3,18476,127,SAT
4,18476,3821,SAT
5,18476,1268,SAT
6,18476,401,SAT
7,18476,1204,SAT
8,18476,291,SAT
9,18476,507,SAT
10,18476,47,SAT
11,18476,240,SAT
12,18476,1506,SAT
13,18476,198,SAT
14,18476,302,SAT
15,18476,1453,SAT
16,18476,7027,SAT
17,18476,147,SAT
18,18476,199,SAT
19,18476,344,SAT
21,18476,371,SAT
20,18476,420,SAT
22,18476,202,SAT
23,18476,1042,SAT
24,18476,1009,SAT
25,18476,8058,SAT
26,18604,697,SAT
27,18604,202,SAT
28,18604,25935,SAT
29,18604,140,SAT
30,18604,163,SAT
31,18604,43,SAT
32,18604,301279356,SAT
33,18604,1443,SAT
34,18604,93,SAT
35,18604,4777,SAT
36,18604,435,SAT
37,18604,1566,SAT
38,18604,7351,SAT
39,18604,575,SAT
40,18604,158,SAT
41,18604,634,SAT
42,18604,115,SAT
43,18604,759,SAT
44,18604,3671,SAT
45,18604,508,SAT
46,18604,1523,SAT
49,18604,432,SAT
47,18604,193,SAT
48,18604,1757,SAT
50,18604,213,SAT
51,18604,158,SAT
52,18604,1110,SAT
53,18604,136,SAT
54,18604,170,SAT
55,18604,2934,SAT
56,18604,644,SAT
57,18604,218,SAT
59,18604,467,SAT
58,18604,246,SAT
60,18604,230,SAT
61,18604,63,SAT
62,18604,129,SAT
64,18604,624,SAT
63,18604,536,SAT
65,18604,6577,SAT
66,18604,734,SAT
67,18604,628,SAT
68,18604,2122,SAT
69,18604,36,SAT
70,18604,220,SAT
71,18604,342368,SAT
72,18604,376,SAT
73,18604,163,SAT
74,18604,604,SAT
75,18604,24747,SAT
76,18604,214,SAT
77,18604,204,SAT
79,18604,133,SAT
78,18604,714,SAT
80,18604,10055,SAT
81,18604,966,SAT
82,18604,412,SAT
83,18604,677,SAT
84,18604,1272,SAT
85,18604,154,SAT
86,18604,1089,SAT
87,18604,578,SAT
88,18604,257,SAT
89,18604,2641,SAT
90,18604,40,SAT
91,18604,243,SAT
92,18604,221,SAT
93,18604,40,SAT
94,18604,3359,SAT
95,18604,17652,SAT
96,18604,912,SAT
97,18604,210,SAT
99,18604,1000,SAT
100,18604,172,SAT
98,18604,50,SAT
102,18604,640,SAT
101,18604,119,SAT
103,18604,376,SAT
104,18604,1756,SAT
105,18604,679,SAT
106,18604,2672,SAT
108,18604,640,SAT
107,18604,164,SAT
109,18604,138,SAT
112,18604,170,SAT
111,18604,210,SAT
110,18604,311,SAT
113,18604,294,SAT
115,18604,1960,SAT
114,18604,300,SAT
116,18604,704,SAT
117,18604,10696,SAT
118,18604,38,SAT
119,18604,37,SAT
120,18604,882,SAT
121,18604,12764,SAT
124,18604,237,SAT
122,18604,27,SAT
123,18604,1892,SAT
125,18604,573,SAT
126,18604,1778,SAT
128,18604,85,SAT
127,18604,57489,SAT
129,18604,1384,SAT
130,18604,1212,SAT
131,18604,3575,SAT
132,18604,299,SAT
133,18604,644,SAT
134,18604,238,SAT
136,18604,557,SAT
135,18604,1077,SAT
138,18604,193,SAT
137,18604,1498,SAT
139,18604,3313,SAT
140,18604,232,SAT
141,18604,134,SAT
142,18604,3622,SAT
143,18604,4541,SAT
144,18604,2888,SAT
145,18604,628,SAT
146,18604,368,SAT
147,18604,320,SAT
148,18604,212,SAT
150,18604,287,SAT
149,18604,255,SAT
151,18604,1325,SAT
152,18604,529,SAT
154,18604,148,SAT
155,18604,557,SAT
153,18604,264,SAT
156,-1,-1,UNKNOWN
157,18604,35,SAT
158,18604,291,SAT
159,18604,36,SAT
160,18604,26,SAT
161,18604,153,SAT
162,18604,447,SAT
163,18604,87567,SAT
164,18604,458,SAT
165,18604,134934,SAT
166,18604,880,SAT
168,18604,33,SAT
167,18604,1713,SAT
169,18604,130,SAT
171,18604,1344,SAT
170,18604,11600,SAT
172,18604,183,SAT
174,18604,1841078,SAT
173,18604,284,SAT
175,18604,186,SAT
176,18604,1172,SAT
177,18604,730,SAT
178,18604,7995,SAT
179,18604,987,SAT
180,18604,1577,SAT
181,18604,346118,SAT
182,18604,6584,SAT
184,18604,136,SAT
183,18604,1532,SAT
185,18604,959,SAT
186,18604,290,SAT
187,18604,485,SAT
188,18604,245,SAT
189,18604,55,SAT
190,18604,1561,SAT
192,18604,666,SAT
191,18604,6547,SAT
193,18604,305,SAT
194,18604,172,SAT
196,18604,1407,SAT
195,18604,430,SAT
197,18604,337,SAT
198,18604,273,SAT
199,18604,474,SAT
200,18604,176,SAT
