Test,Max RSS,Algo time,Result
2,18460,725,SAT
3,18460,884,SAT
4,18460,938,SAT
5,18460,882,SAT
1,18460,1073,SAT
6,18460,902,SAT
7,18460,640,SAT
8,18460,613,SAT
9,18460,313,UNSAT
10,18460,555,SAT
11,18460,471,SAT
12,18460,528,SAT
13,18460,497,SAT
14,18460,751,SAT
15,18460,1815,SAT
16,18460,1231,SAT
17,18460,1267,SAT
19,18460,499,SAT
18,18460,982,SAT
20,18460,932,SAT
21,18460,1139,SAT
22,18460,936,SAT
23,18460,647,SAT
24,18460,800,SAT
25,18460,241,UNSAT
26,18460,618,SAT
28,18460,1140,SAT
27,18460,720,SAT
29,18460,976,SAT
30,18460,491,SAT
31,18460,1063,SAT
32,18460,767,SAT
33,18460,578,SAT
34,18460,1062,SAT
35,18460,593,SAT
36,18460,735,SAT
37,18460,841,SAT
38,18460,882,SAT
40,18460,1818,SAT
39,18460,563,SAT
41,18460,782,SAT
42,18460,534,SAT
43,18460,729,SAT
44,18460,711,SAT
45,18460,575,SAT
46,18460,521,SAT
47,18460,217,UNSAT
48,18460,683,SAT
49,18460,255,UNSAT
50,18460,987,SAT
52,18460,517,SAT
51,18460,530,SAT
53,18460,1541,SAT
54,18460,1337,SAT
55,18460,918,SAT
56,18460,1959,SAT
58,18460,700,SAT
57,18460,869,SAT
59,18460,476,SAT
60,18460,547,SAT
61,18460,720,SAT
62,18460,1055,SAT
63,18460,1883,SAT
64,18460,492,SAT
65,18460,169,UNSAT
66,18460,1129,SAT
67,18460,759,SAT
68,18460,272,UNSAT
69,18460,693,SAT
70,18460,649,SAT
71,18460,944,SAT
72,18460,1099,SAT
73,18460,546,SAT
74,18460,600,SAT
75,18460,597,SAT
76,18460,976,SAT
77,18460,1575,SAT
78,18460,491,SAT
79,18460,762,SAT
80,18460,868,SAT
81,18460,184,UNSAT
82,18460,1016,SAT
83,18460,638,SAT
84,18460,782,SAT
85,18460,1982,SAT
86,18460,871,SAT
87,18460,731,SAT
